TN,AN,ANL_E (m),ANL_T (s),ANL_A
25,15,0.726,2.94,10
50,30,0.861,6.01,13
75,45,0.735,9.12,28
100,60,0.715,12.36,37
125,75,0.79,15.59,49
150,90,0.759,21.21,63
