TN,AN,ANL_E (m),ANL_T (s),ANL_A
25,15,0.25,1.31,25
50,30,0.234,2.79,49
75,45,0.213,4.35,72
100,60,0.222,5.96,99
125,75,0.202,7.72,123
150,90,0.184,9.94,149
