TN,AN,ANL_E (m),ANL_T (s),ANL_A
25,15,0.309,3.67,24
50,30,0.276,7.75,49
75,45,0.268,12.05,73
100,60,0.254,17.19,98
125,75,0.232,20.74,124
150,90,0.205,24.43,150
